id,name,periodstart,periodend
vivaconagua,VivaConAgua,2020,2022
toom,TOOM,2021,2022
jever,Jever,2020,2022
berentzen,Berentzen,,2022
ewe,EWE AG,2020,2022
tomorrow,Tomorrow,,2022
aboutyou,AboutYou,2020,2022
tafel,Tafel Deutschland,,2022
vaay,Vaay,2021,2022
stpauli,FC St. Pauli,,2022
nordpool,Nordpool ,,2022
ndr,NDR,,2022
greenlife,GreenLife,,2022
fynn,Fynn Kliemann,,
agantty,Agantty GmbH,2015,
fkvv,FKVV GmbH,2020,
floss,Floss weg hier 111 GmbH,2020,
oderso,O.D.E.R.S.O. Gmbh,2020,
texas,T.E.X.A.S. Holding GmbH,2020,
twofingers,twoFingers Records GmbH,2018,
kliemannsland,Kliemannsland GmbH,2015,
herrlich,Herrlich Media GmbH,2011,
ldgg,LDGG Immobilien GmbH,2020,
bottmann,Florian Bottman,,
tietjen,Niklas Tietjen,,
schäfer,Tim Schäfer,,
frank,Sigurd Frank,,
junker,Sven Junker,,
erdbeerhof,Karls Erdbeerhof,2020,
karlsinvestions,Karls Investions GmbH,2020,
dahl,Robert Dahl,,
globaltactics,Global Tactics,2017,
illbruck,Tom Illbruck,,
daur,Caro Daur,,
joko,Joko Winterscheidt,,
mueller,Ina Mueller,,
westermeyer,Philipp Westermeyer,,
kantereit,Severin Kantereit,,
seidel,Reinhold Seidel,,
haßfeld,René Haßfeld,,
reitze,Michael Reitze,,
schwegmann,Oliver Schwegmann,,
dohler,Stefan Dohler,,
nureldin,Inas Nureldin,,
schweikart,Michael Schweikart,,
berndt,Jakob Berndt,,
betz,Sebastian Betz,,
mueller,Tarek Mueller,,
wiese,Hannes Wiese,,
bruehl,Jochen Bruehl,,
bornemann,Andreas Bornemann,,
geldern,Bernd von Geldern,,
drust,Martin Drust,,
michael,Thomas Michael,,
urban,Martin Urban,,
kunze,Anne Kunze,,
darell,Tom Darell,,
rasmussen,Niels Rasmussen,,
klein,Sabine Klein,,
neumann,Friedhelm Neumann,,
witte,Jan Witte,,
haensel,Finn Haensel,,
schokowinterscheidt,Schoko Winterscheidt GmbH,,
funk,Funk,2016,2020
sanitycare,Sanity Care,2021,2022